TITLE,REVIEW
['Great upgrade from the Rebel series'],"[""I upgraded from a Rebel series T6i to this and love it so much. I am still a beginner but wanted to move to a full frame and wasn't ready to go mirrorless and this baby gets the job done! My images are so clear and crisp. Easy to use and the battery life is amazing!""]"
['Great for intermediate photographers'],['I upgraded to the canon 6d Mark II from a Canon T3i ! Holy moly! Huge upgrade!! I love the quality of this camera and it’s a lot faster than the t3i! The only reason I didn’t rate it a 5 start is because the auto focus isn’t the fast at re focusing and move around']
['Excellent camera!'],['Have always shot Canon and have continually moved up the chain in features and quality. This camera body does not disappoint and does a great job in my small photography business. Battery life is amazing! I can shoot for 4-5 hours and longer on a single charge.']
['Best Full frame camera !'],['was in market for full frame camera for some time ! This is the best one I found within my budget. Well built camera and very happy with image quality. Initially paired with Canon - EF 50mm f/1.8 STM Standard Lens - Black and very impressive image quality.']
['Awesome camera! Super underrated'],"['Was hesitant to Purchase this camera as I hadn’t heard much about it, but when looking into getting a new camera i decided to give it a try because it is a full frame and the price was super reasonable. I totally love it. Portrait photos come out amazing.']"
['So Far so good.'],"[""My first full frame camera. Have not taken too many pictures yet, but my results have been spectacular. Coupled with Canon L series lens, my pictures pop like a professional.(with some help from photoshop). Can't wait to take sports photos with the 6D.""]"
['Great intermediate camera.'],['Great camera for beginners wanting to take the next step but not spend over thousands upon thousands of dollars. Bluetooth connect to phone to monitor photos is a clutch feature. Very happy with this model. Incredible full frame camera for the price.']
['Obsolete Camera'],"[""good camera but i was told this design is being replaced with mirror less version so this is obsolete, I am returning to get a full frame mirrorless version.... if that doesn't matter it really is a great camera feels right doesn't feel cheap.""]"
['Great Camera for Pros'],['By far this is one of the best cameras that I’ve ever had. I recommend this to anyone who wants to get into photography. Since my purchase I’ve bought different lenses depending on the use and I must say Canon is the best and what they do.']
['Solid entry level'],['This is a great entry level full Frame camera. Built like a tank and extremely dummy proof with their settings layout. Good low light performance. Great for someone who wants to keep learning or wants to jump into the full frame Market.']
['Stunning Quality and Features'],"['An overall stellar camera for someone looking to get into a full frame. Features beyond believe, incredibly sharp quality and lightning fast with everything, would recommend this to anyone whether they were a Canon user already or not!!']"
['Great Camera!'],"['This is my first DLSR and I love it! It is lights years ahead of my last Canon.. The T3i! I am more of a video guy, but this camera has gotten me to tap into photography more and I cannot wait to check out this camera to full capacity!']"
['Much improved from version 1.'],['Much improved from version 1. Faster shutter release and cleaner focus. I love how easy it is to wirelessly view and download images from the camera to my phone and laptop. The touch screen is super sensitive and very useful.']
['Great camera for beginners who have an eye'],"['Great camera for al photographers to have in there tool kit.. I really like the work put in this Mark ii , love the WiFi on this as well, wish it had a built in flash, I will have to buy that as well.. I love photographer...']"
['Canon 6D Mark II'],['I have just begun to take pictures with it but I am liking all of the features of this camera. I upgraded from a Canon EOS Rebel T6i which is a good camera. All of my lenses for the Rebel work with the 6D which is great.']
['Great full frame camera!!'],"[""After reading many mixed reviews about this camera, I decided to give it chance (on sale for $1,300). After several weeks of shooting, I'm glad I did. Camera produces beautiful full frame images (portrait and wildlife).""]"
"['Good camera, expected more']",['This camera is alright. I honestly expected a lot more from it. There seems to be an issue with this specific model When shooting at higher ISO. Over all it’s a good camera and I love it when i shoot throughout the day.']
['Love this camera !'],['I normally shoot for two YouTube channels with a 80D and 77D. I’ve wanted a full frame camera and one that shoots HDR photos. Face tracking is spot on and the menu is easy to use. Wished I’d gotten the 24-105 lens too.']
['Great full frame DSLR'],['The 6D Mark II builds on the features Of the original 6D and adds to them. It is my go to camera for travel and off site shoots because of its portability and size. Still no 4K video but that’s not necessary for me.']
['Not as advanced as I thought.'],"['This was a spur of the moment purchase and I should have done some research before buying this camera, but I am very disappointed it doesn’t have a PC port for externally triggering flash. This is NOT a pro camera.']"
['Hands down favorite DSLR'],['This camera blows me away. I’ve always shot canon and I was sooo happy switching from my T6i. Has everything I need. Could use full 4K video but 1080 is great. 4K uses sooo much space and you really don’t need it.']
['This is the best camera ever made by Canon'],"[""It's so easy to shoot pictures. The quality of the shots are breath taking. The combination of the 6D Mark II body and an L series Lens is the best way to go. The full Frame format puts it at the top of the line.""]"
['Amazing Camera!'],"['I was used to having a crop sensor camera for many years. When I upgraded to this full frame I fell in love with the endless list of things I could do that I couldn’t before. Great quality, beautiful photos/video']"
['Great Camera'],['The Canon 6D mkii is a great camera for someone looking to get into photography. The 6D is as close as you can get to a professional grade camera without actually paying the money of a professional grade camera.']
['Full Frame Glory'],"['Excellent camera!!!! I had the 80D which is a great camera, BUT... nothing beats having a full frame. Trust me! There is a difference, and the image quality is better, lower ISO, great IQ. Small body. Great Buy']"
['Great camera for taking your hobby seriously!'],['This is an amazing camera and has all you need to start a new hobby or start a new photography business. Just make sure you get some nice glass and this camera still do over and beyond you you need it for.']
['Very nice full frame camera'],"['This camera is a upgrade for me. My previous camera was canon 7D Mark II. I am moving to a full frame from the crop series cameras. This one also has the flip screen, which is handy for some situations.']"
['Great camera for great value'],['It’s my first full frame camera and I love it! The shutter is very responsive and so is the touch screen. I like that I can crop my picture right on the camera. The WiFi download for the phone is a plus.']
['Capture the Moment'],"[""This camera is incredible. It's absolutely wonderful in lowlight and the colors come through beautifully. I used to be using an older 7D and this camera so far for me has been way better picture quality.""]"
['Great camera'],"['I upgraded from a crop sensor camera to this full frame beauty and let me say, i will never go back to crop sensor. This camera is amazing for the prize and I’m in love with the way the pictures come out']"
['Good mid level camera'],"['Upgraded my 60D to the 6Dii. Happy with the full frame sensor. Very natural operation coming from the 60D as the layout is very close to the same. Wish I could afford the 5Div but for now, this will do.']"
['Excellent first full frame dslr'],"['Do not be confused by other professional reviews. It is perfect for what it is, and flipping screen is great for selfies/low angle/high angle shots. Easy to get photos off of camera thru wifi/bluetooth']"
['Best bang for your buck!'],"[""I love this camera!!! For the price it's the best bang for your buck!! I would pick this up over any other canon dslr!! Get them while they last! DSLR is going completely away in the next year or two!""]"
['Good full frame'],['This camera is a very good low end full frame camera for beginners. I have always had a C sensor camera and what a difference a full frame makes. Images are clear and brilliant. Priced just right!']
['Easy to use camera for beginner.'],"['This seems to be a really good camera for a beginner to intermediate photographer. It is easy to adjust the settings, exposure, etc. and is not too heavy. I am very satisfied with it so far.']"
['Great quality for the price'],['You can’t beat the touch screen live view while photographing to focus on a particular spot. The only thing missing is the dual sd card slots. Great for portraits and lifestyle photography.']
['I love this camera'],['If you look at reviews on YouTube they say a lot of bad things....but look at the comments....people who actually own the camera had nothing but good things to say. This camera is amazing!!']
['Very Happy'],"[""Upgraded to this camera and so far so great. I've had it for less than a month but am really getting used to it. I read the negative reviews, but I would buy this camera again if I had to.""]"
['Awesome camera!'],"['I upgraded to this from the canon rebel t3i and the difference is astounding. It is capable of so much, and I will be growing into it as a photographer for a long time. Awesome quality!']"
['Not what I expected'],['Not what I expected as an upgrade. The shutter stop working with very low usage. Had to return item. Also for a upgrade unit is a lot of the old nothing new but the flipping screen.']
['Good upgrade'],['6D is a good entry level camera. Some of previous shortcomings have been fixed in mark ii Version. Still it is entry level and cant be compared to 5 series. Very good for price.']
['My first full frame camera'],['This camera is a huge step up from my old Canon SL1! I’m loving the speed and quality upgrades. Do yourself a favor and buy the L-Series lenses to go with it. They are worth it!']
['Amazing camera'],['I bought this to replace my canon t6 rebel. So far I am completely satisfied with my purchase. It takes amazing photos and is easy to use. The swivel rear screen comes in handy.']
['Great Camera'],['This is amazing! i am in love with this camera. I do alot of my portrait shoot with this and they come out so good. I also recommend the sigma art 35mm 1.4 with this camera :)']
['Obsessed!'],"['I absolutely love my canon 6d mark ii!!! It’s perfect for my weddings, elopements, and couple sessions! I will be upgrading to a 5D mark iv but my 6D will be my second body!']"
['Excellent quality'],['Camera has excellent quality as far as images. Easy to use and helps with tack sharp images. Lightweight which helps on long shoots. I would buy this camera again any day.']
['Good clarity and less noisy than my 70D.'],['So far I love it. Purchased to handle my sports shooting to keep the work off my portrait cameras. I feel the noise is much less at higher isos than the 70d I was using.']
['Time to go mirrorless?'],['Becoming slightly dated in terms of video. Awesome camera overall and all you need for great photos. At the same time mirrorless options should be a strong consideration']
['An amazing Camera'],"['I bought it because i knew this camera was awesome, but after a year it went broked. We used it just for few times, so... i dont know. Maybe i have had to buy the warant']"
['Good Camera for the Price!'],['I was thinking about Upgrading from My Canon 50D and I brought this Camera and it hasn’t disappointed. It takes really Good Pics and I always wanted a Full Frame Camera.']
['Great for Video'],"['The articulating screen and follow focus features are great additions to this full frame camera body. It is great for video, especially when coupled with a fast lens.']"
['Best Canon DSLR'],['Great camera for freelance photographers. I like how it doesn’t weigh as much as the Canon Mark 5D series and I love how the back screen of the camera can swivel.']
['Fantastic upgrade from consumer-grade'],"[""This camera is clearly quite a bit nicer than the crop sensor cameras I've been used to. Images are crisp and clear, and it really shines with the L lenses.""]"
['Awesome Full-Frame Camera especially for the price'],['The 6D Mark ii is just simply awesome. You’re able to upgrade and enjoy the benefits of a full-frame camera for half the money the famous 5d Mark iv cost.']
['Beautiful'],['This was a full frame upgrade to my 60D. Very happy with the quality and features. I’m a little bummed about not having 4K video but photos are phenomenal']
['Great upgrade camera!'],['I’ve finally upgraded to a full frame camera and I couldn’t be happier that I picked this one!! It’s pure magic and I can’t wait to keep creating with it!']
['Great first full frame'],['I upgraded from a Canon Rebel. The high ISO capabilities is amazing. Long battery life as well. Takes great video too. Very happy with this purchase.']
['Box had been opened'],"['This boxing is with a kit lens, but they resell the camera with no lens to me, makes me think if that is new or not. Cuz someone opened the box already.']"
['Very great camera for a good price'],['The camera is very good for the price. Its full frame and have a rotating screen so very good at low light and very easy to compose any angles you like']
['Nice entrance to full frame'],['I read the reviews prior to purchasing. Great camera for low light. I upgraded from the 7D and this camera is a nice addition to what I use currently.']
['Great backup camera'],['It’s the backup to a 5D4. Produces similar images and video. Wish it had more focusing points. I use live view as much as possible to get around it.']
['Camera'],['Bkught for my wife to replace her EOS rebel. We both love it and take it everywhere we go. The pictures have turned out better than we expected.']
['Amazing camera'],['I decided to upgrade myself to one of the best canons possible. This was the best photography decision I’ve ever made. Such a great investment.']
['Great Camera'],['This camera is everything. Love the flip out screen great for a first time full frame. My girl friend loves it. Video is awesome aswell on it.']
['A nice full frame option'],['Debated between the Canon RP mirrorless and the 6D Mark II. This is a nice update to the 6D. Will consider mirrorless options in the future.']
['Beautiful pictures'],['This camera is awesome right out of the box! The pictures are beautiful and it’s really easy to use compared to a lot cameras on the market!']
['Great camera'],['This camera is everything. It’s gives you all the features any photographer could ask for. Easy to use and durable like most Canon products']
['Great entry level full frame!'],"['Bought as my first full frame camera and it was an easy swap from a crop sensory. Too many great features to name, but worth every penny.']"
['Great camera'],['I wanted to upgrade from my Canon Rebel T6 and this was the perfect camera to do the trick. My photos are so much more crisp and clear.']
['Awesome Camera'],['Honestly the best and most expensive camera I have ever owned. Burst fire is great for sports photography and the color is outstanding.']
['Perfect Match'],['I have been searching for the right camera for a while now and this is perfect. The video quality is great and it wont break the bank.']
['Great camera'],"[""it's an awesome camera.. it even has a really cool touchscreen that i didn't know about. a lot of cool features, and an amazing shot!""]"
['perfect!!'],"[""i was looking for fullframe camera but wasn't ready to spend a lot of money on it. Finally 6d mark 2 was launched.. its awesome.....""]"
['Great full frame dslr for the price'],"['Great camera for the price, especially with the markdown. No pop up flash for this body. Fairly light weight depending on the lens.']"
['Great camera!'],['This my second Canonb 6D. This one is a MarkII. I really like Canon cameras because of the easy use & great quality of the photos']
['Loved loved loved'],['Great Camera! I got it on special so it wasn’t as much but love this camera it’s very great and already upped my photos by a lots']
['Worth the cost'],"['This camera rocks, takes beautiful pictures using the EF 100mm f/2.8L Macro IS USM Lens, a bit pricey but worth every single buck']"
['Great entry level full frame.'],"['Nice camera, I use this at work, really good for low level professional work, the full frame makes for some really nice images.']"
['camera body'],"[""This camera is very professional, yet user friendly. Great for our trips to get 'action' shots and quick management of images""]"
"['Nice, but...']","['Nice full-frame camera. It might be the last DSLR Canon upgraded. Great upgraded compare to 6D. However, the price is costly.']"
['Awesome Camera love it!'],['This is worth every penny. Being a beginner photographer it makes me look like a professional. All my clients love my shots.']
['Regret'],"['I bought this, coming from a canon 7D. Image quality is about the same. Such a shame when compared to a 11 year old camera.']"
['Absolutely love this camera!'],"[""I know this camera doesn't have great reviews, but I love it's performance, especially in low light settings. Bravo Canon!""]"
['Great camera for beginners!'],['There was an excellent customer service. We bought this camera as well as a canon 50 mm 1.4 lens. Both products are great!']
['Bad experience.'],"['Poor service, it was very clear the gentleman had no idea what he was talking about and continuously talked about himself.']"
['Great Camera'],"['compare to canon 5d mark 3, 6D mark 2 capture the great quality picture. better picture at low light, landscape and more.']"
['Awesome camera'],['Purchased for my son to start his photography business with ..he loves it and has taken so many fantastic photos with it!']
['Canon 6d mk 2'],['This camera is awesome. Full frame auto focus to f8 and built in hdr and multi exposure. All the items I was looking for']
['Great camera for action shots!'],['I bought this camera to replace my Canon 60D I love both cameras just needing an upgrade. It takes awesome action shots.']
['Amazing camera'],['I love this camera and very good picture quality. Really worth every penny I spent on this camera for the picture I got']
['Great for action pictures in low light'],"['Great for action pictures in low light, I purchased this camera to use during football games under the lights at night.']"
['Great for early stages of photography business'],['My wife loves this camera. She uses it in her photography business and it produces great pictures for the price point.']
['Great camera for beginners and pros alike!'],['This camera has a lot of features for the price. Great for a starting photographer or those interested in photography.']
['Nice DSLR!'],"['I got this as an upgrade from my Canon T4i. I love the features of my new Canon 6D Mark II. So far, I am enjoying it!']"
['Great camera to upgrade from a crop sensor'],"['This camera is full of cool stuff, I’m in love with with it. I upgraded from a Canon t5i and it’s the best thing ever']"
['Great Camera'],"['After having a cropped sensor camera for years, this camera is next level in my eyes!! Beautiful full frame camera!!']"
['decent full frame DSLR for cost'],"['good value for the cost. I purchased this as a backup for my Canon 5DMK4, to have on hand if needed during a shoot.']"
['Huge upgrade for me!'],['I upgraded from a Crop sensor Canon Rebel T5. This camera exceeded my expectations. I’m so happy I went with this!']
['Love my canon'],['Absolutely in LOVE with my camera! I cannot believe the difference it made with the upgrade! Will never turn back!']
['Love it!!!!!'],['Wanted to get me a full frame camera. So I settled on this one and I have not been disappointed one bit. I love it']
['Love this camera'],['Camera is amazing. My shots are clear and crisp. It is user friendly with many options for a variety of settings.']
['Best Decision Ever!!'],['If I could give it 10 stars I would. I went from a t3i to this and I couldn’t be happier. Does everything I need.']
['Canon 6d Mk 2'],['Great camera use it for Portraits. The 5d is a bit better when it comes to color but the value is definitely here']
['Photographer friendly.'],['We bought this for our daughter as a graduation gift. She is a photographer and uses it frequently and loves it.']
['Excellent camera'],['I need a full frame DSLR camera and the 6D mark II does all I need at less than half the price of the 5D mark iv']
['Great improvements to an already great camera!'],"['Great update to an already great camera! Don’t be taken by some reviews that say there isn’t much to this update. First, it’s still the great body the original was … is. It feels good in the hands. Substantial. There are a few features that users will benefit from immediately. Better autofocus, touch screen focus, articulating screen, live view when shooting and much better autofocus during, and Bluetooth. Under the hood your have an updated chip, 26mp instead of 20, improved video, and better battery life. If you do your own editing, as I do, you’ll see these improvements on your computer screen. “But there’s no 4k!” First, the average hobbyist doesn’t need 4k. You likely don’t have a 4k capable tv. Also, working with 4k in an editing system can be slow and frustrating. Even if you work in video you’re better off using a video camera, not a dslr. Though I understand the appeal due to coat needs the full sized sensor. Still, considering many things are winding up online, 1080 … good 1080 is beyond good enough. If you have the 6D, this is a great upgrade. If you want to move to a better camera with a full size sensor without breaking the bank, this is the perfect camera.']"
['A great camera'],['I’m so in love with this camera. I upgraded from canon T7i and it’s way better. The picture quality is amazing.']
['Great pro quality camera without the price'],"['Great camera, easy to use as well as an awesome battery life. Comfortable to hold and very user Friendly menu.']"
['Entry level masterpiece'],"['If you’re wanting to start a career in photography, this is a great jump point. Full frame and very versatile']"
['Excellent Camera!'],['Bought it as my main camera (older one will be second camera) and it was the best decision. Love the quality!']
['Canon 6D Mark IIGreat camera'],"['Been real happy with the camera, crystal clear pictures. Still learning the functions but been happy so far.']"
['Nice upgrade'],"[""This was my mother's day gift and it's a nice upgrade from t7i and great introduction to full frame camera.""]"
['Great camera upgrade'],['Great camera for nature and portrait photography. Lots of detail in pictures. Great upgrade from Canon 7d.']
['Great product'],['Nice well built camera. Awesome features. Definitely not a average skill camera. With a decent price point']
['Beautiful results'],['Upgraded to this canon from a rebel model and the picture quality is great. Low light pics are so awesome']
['...'],['Awesome camera i love it easy to use. Check my IG @c7_visuals to see what can u do with the 6D markii.']
['Great for a beginner'],"['Everything has been so simple and easy to follow, allowing you to catch the perfect picture every time.']"
['Nice economical full frame'],"['I wanted a full frame, but not willing to pay double for 5d iv. works great with canon’s 17-40 L lens']"
['Great Upgrade'],['Upgraded to this camera from my T7i. Big difference in picture quality. Much more substantial camera.']
['Great camera upgrade'],['First full frame camera. Love the articulating screen and the low light capabilities of this model.']
['Wish it came with 4K Video'],['This camera is outstanding and is almost a near perfect buy. I just wish it was able to film in 4K.']
['Awesome Camera'],"['So many negative reviews on this camera, this camera is great for weddings, vlogs and music videos.']"
['So far great'],['This was an upgrade from the 80D- very similar camera aside from being full frame - so far love it']
['Amazing full frame camera'],['6D Mark II it’s the perfect product for the price range. I’m so happy that I make this investment.']
['Love it!'],"[""I love this camera. It's a great upgrade from my 70D to full frame and have no complaints so far.""]"
['Good Camera to move up to!'],['Have always shot with a crop sensor camera. The 6d mkll is a good step up to a full frame camera.']
['Love'],['So far so good ! I’ve had this for awhile and it takes stunning pictures very easy to use as well']
['Great Camera'],['Great Camera! We used it for the graduation and a recent trip. Shot many pictures. Super quality.']
['Great Camera'],['Upgrading from 5D Mark II for video and the auto focus on this was just amazing. With the money.']
['Great camera for enthusiasts'],"['Although is a great camera, it has trouble with low light autofocus; I love the high ISO quality']"
['Great camera'],['This camera does everything and more of what you need for take awesome picture. Very suggested!']
['Best value'],['I’m in love with this camera!!! It’s one of the best canon DSLRs out there for the best value.']
['Good camera'],['Very good camera. I have used it a few times so far but it Im still learning all the features.']
['Great camera for a beginner'],"['Bought for my wife and she loves it. So easy to use. Glad I bought it, definitely recommend.']"
['Great camera for intermediate user!'],['Wonderful camera for that beginner that wants to take the next step in his/her career/hobby!']
['Wonderful camera'],"[""Don't let the naysayers fool you this is a fantastic cameral. Rocks in low light conditions""]"
['Great Camera!!!'],['Gifted it to my nephew and he was delighted to use for his sports and wildlife photography.']
['Best in class'],['Fantastic camera. By no means the best out there but for the money there is no comparison']
['my fav camera so far!'],"[""even without 4k, it's a good photography camera and a vlogging camera! love love love it!""]"
['Canon - EOS 6D Mark II DSLR'],['Excellent camera. Video quality is exceptional. Canon lenses work great in this camera']
['Really good camera for photos!'],"['I really like this camera is good for videos and pictures, auto focus works really good!']"
['Amazing camera'],['I own my own video production company and this is an amazing camera for photo and video']
['Awesome camera'],"['One of the best cameras ive ever owned. Sharp and quick, not very heavy and great grip']"
['Perfect camera'],"['The cameras it’s a beast, focus really fast, the charge, the video frames is very good']"
['Amazing'],['This camera has been nothing but a joy to use. Could not be happier with my purchase!']
['Very good camera'],['I love this camera. It got high resolution and taken pictures in low light conditions']
['Love it'],['I may be biased because im coming from a cropped sensor but i love everything so far!']
['Canon camera'],"['Loving this camera so far. I upgraded from the Canon t7i, and i loved using that too.']"
['Good for beginners'],['Good camera for beginners. I could have better focus points and better dynamic range.']
['Good camera'],['I am very happy with this product and would highly recommend to my friends and family']
['Great camera!'],['This is a great camera! The image quality paired with the 50mm f/1.2 lens is amazing']
['Great camera for Intermediate'],['Upgraded from an 80D totally worth the upgrade! Full frame makes a great difference!']
['Canon Camera'],['Love this camera. I am a Canon user and this camera it easy to use and light weight.']
['HIGHLY HIGHLY RECOMMEND!!!'],"['I’ve had this camera about 6 months, and i would recommend it to any and everybody.']"
['Great camera for beginner'],['Love this camera. Quick and easy to use professionally and for everyday photography']
['Excellent Camera'],"['I enjoy using my 6D Mark II very much. Especially, the touch screen is very handy.']"
['Very clear pictures.'],['A great camera for the money! Easy to use and the fold out screen is nice to have.']
"['Excellent step up from cropped sensor to full,']",['Really like focusing speed and image quality. Touch screen is also great feature.']
['Great upgrade camera'],"['Had an old Rebel, so I upgraded to this one. Meets my needs spot on! Great camera']"
['Great camera'],['I could use it all the time.very good could carry it every where I go very handly']
['Great camera'],['Upgraded from a Canon SL2 to this one! Definitely worth the upgrade on a budget!']
['Great camera'],['Bought this as a gift. It works well and the extra free items were a nice bonus.']
['Love this camera!'],['I have been a Canon user for many years and am enjoying the full frame camera.']
['Love my canon 6D. Mark ii'],"['Love my canon 6D. Mark ii for sports, portraits and landscapes. Love love love']"
['Best camera'],"['Light weight, fast focus,great focal points,travels well goes everywhere I go']"
['nice camera'],['good is the same tu mark 4 is amazing for picture and video I am really happy']
['Great camera for a beginner love it'],['Canon 6d mark ii is very great camera for a beginner love to use this camera']
['Great camera!!!!'],"['It’s bomb! Slick design, perfect for an intermediate/advanced photographer.']"
['Good'],['It’s one of the best camera in the market in term of quality and pricing.']
['Great'],['Love this camera! Very happy with it so far. Would recommend this camera.']
['Great camera'],['Takes awesome pics. Had to wait for a bit but it was well worth the wait.']
['A much needed upgrade'],"['Bought it even though I have the first version ,the af system is awesome']"
['Lalito'],['excellent camera I recommend it to everyone takes excellent photography']
['amazing'],['this is my first full frame camera. the images are sharp and I love it']
['Great entry level full frame'],['I had outgrown my crop sensor and this is a great Segway to full frame']
['Best DSLR for money'],['Bst camera for people who love photos. Would recommend it to everyone.']
['Crisp'],['Very crisp full frame camera. A little heavy but overall a good camera']
['Photos 4 ever'],['Looking forward to using this on a regular basis. Great solid camera.']
['Excellent!'],['I love it! Excellent for low light conditions. I really recommend it!']
['Amazing'],['Such an amazing camera! It ms worth every penny plus it has Bluetooth']
['Amazing'],"[""I'm obsessed with it so far. Smooth, professional, beautiful photos.""]"
['Great full frame camera'],['Even if it’s a entry-level camera. It’s a good choice for this price']
['great for professional'],['i love shooting with mark II. great pixel full frame. great capture']
['Awesome camera for a startup'],['Love it not the low end and not the high end camera it’s just right']
['Best camera for the $$'],['Fantastic camera for a extremely good price! Would highly recommend']
['Great camera'],['Definitely the best camera I really love it and recommend to anyone']
['Awesome!'],['Super nice camera! Love it so far.My pictures are coming out great!']
['Great full frame camera'],['This was my first camera and its such an amazing pice of equipment.']
['Great camera!'],['Love this camera! So easy to handle and the WiFi feature is a fave!']
['The best camera'],"[""My favorite camera I own and I've had many. Clean and crisp photos.""]"
['nice optioned deal'],['the video autofocus works very well. The camera is a good purchase']
['Great full frame'],['Love the portrait shooting. Ok for low light. Gets a luttle noisy']
['Great buy'],['Great product. What you expect from canon great full frame camera']
['Let’s get Snapping'],"['Works amazing, and the help from the camera specialist was great!']"
['Great Camera'],['Love the camera just focus points can get tricky to be in focus!']
['great for newbies'],['i really love it and it work nice and perfectly . with good shot']
['Great litttle camera'],['Grift for my hubs and it went over great ... it’s a great camera']
['Really stepped up my business'],['Love the touch screen adjustments. Makes my job so much easier!']
['Great Camera for entry level professionals'],['I am really enjoying this camera - great quality for the price!']
['Canon 6d mark ii'],['I absolutely love my new camera! Thank you for a great product!']
['Worth every penny!'],['Great product for a great price! Definitely worth every penny.']
['Karen :)'],['Haven’t had it long enough to give 5 stars but so far so good.']
['Great Full frame Camera'],['Great full frame camera. A little bit expensive and missing 4K']
['My favorite'],['Great price for a full frame! Quiet shutter. Touch! Is awesome']
['Absolutely love!'],['LOVE this camera! Can’t wait to buy a second one as a back up!']
['Love love love'],['This is the best camera ever. The blur background is amazing.']
['best camera ever'],['Pick up was easy and fast. Staffs were kind. Excellent camera']
['Great camera for the not so amateur.'],['The Canon 6D Mark II is far superior to my original Canon 6D.']
['Good'],['Cannon is a very good camera to use and takes good pictures.']
['Great Video Camera!'],['Great camera for video! It is lightweight and great quality!']
['Love it'],['Great little camera. Body is sturdy and will be fun to use.']
['Great Quality!'],['Very pleased with this camera and would strongly recommend.']
['D9'],['Great upgrade from Kodak 126 and takes much better pictures']
['Excellent choice'],"['A very nice camera for the price, I highly recommend this.']"
['nice cam'],['very nice equipment for intermedian and expert fotograoher']
['Great camera'],"['great upgrade from my rebel t6 , truly makes a difference.']"
['Great Camera'],['Up and coming photographer son wanted this camera. Great.']
['GReat camera!'],['i would definitely recommend this camera!!!!! works great']
['Love it'],['I love that it has a flip screen also useful to do video.']
['Exactly what I expected.'],['I wanted a good entry level Full Frame camera. I got it!']
['Awesome for photography and videography!'],['I use this camera for my wedding business and I love it!']
['Great cameras'],['This has been a very good entry level full frame camera.']
['Great camera for a beginner'],"['I loved the dynamism in this camera, and the video is 10']"
['5D Mark IV'],['Perfect camera! Love it! Takes great pictures and video!']
['love'],['good quality of pictures. kinda expensive but worth it']
['Great camera'],['Purchased for macro photography...couldn’t be happier.']
['Great camera'],['Love it wonderful image quality and super easy to use']
['Useful'],"[""I'm brought it for my nephew.nice camera easy to use.""]"
['Great camera period'],"[""The camera definitely works for today's photographer!""]"
['Canon 6d m2'],['Excellent equipment. Great product at a great price.']
['Good for pictures'],['Excelent camera good resolucion and amacing pictures']
['canon 6d'],"[""A great photographic camera, I'm super satisfied dd""]"
['It’s a great product'],['It’s a great entry level full frame camera to start']
['It’s good'],['Awesome product. Photo clarity are very good -!/ .']
